frame,time_s,knee_R_raw,knee_R_smooth,knee_L_raw,knee_L_smooth,hip_R_raw,hip_R_smooth,hip_L_raw,hip_L_smooth
20,0.6666666666666666,123.38341273339496,107.0919911908127,156.50788957577464,154.61502050184885,30.489681597908806,47.400669513799144,20.140777565048424,26.13479450653122
21,0.7,125.15844965722036,122.30586429535848,159.23114033344157,159.99201704327106,30.03207598943511,32.367283853889205,20.700624998333836,17.473298121838038
22,0.7333333333333333,126.01748593000129,123.66345606345283,163.16112308220013,161.0128354344525,30.858728021042108,32.018783688741166,22.01823147404544,18.10462035694605
23,0.7666666666666667,124.81388448247138,125.18568773142862,158.6092910203867,159.11378423274527,30.28215920905501,30.211386449498818,22.13550380674905,21.18562190549953
24,0.8,123.01776508798235,124.86373368495043,153.23168504693848,154.68926630097857,29.4976132513604,29.40812987660782,20.953248731796215,22.043993727601308
25,0.8333333333333334,123.71561317917461,124.44838840156432,154.94582864139647,153.89928209393807,29.056862383957785,28.722852808675874,17.130174841968895,19.68976827913757
26,0.8666666666666667,122.62115160147225,122.94663870553067,149.02699146828883,149.35310384367378,29.110172962321347,28.515090909705133,15.798970711587895,16.895666026672423
27,0.9,122.89871440671311,122.26523502549269,149.04952131368637,147.1018916799072,30.438582105824782,29.592872520121272,17.34843008278933,16.1154387298965
28,0.9333333333333333,122.10622168051839,121.77942354173523,149.80207731216197,147.29202211293583,29.288898673881555,29.529401985188994,18.128515854988997,16.485223729442055
29,0.9666666666666667,126.02781417028349,124.60570809267048,149.61185200603248,148.69422194584234,30.020940623712185,29.917775305344776,21.82528334128648,20.003896883892835
30,1.0,128.56455757835477,127.97778280212965,148.34916895998353,149.36764541899228,31.10126331054043,30.978645378709448,22.465934828266327,22.87061208296107
31,1.0333333333333334,129.52205443585993,130.13743163826427,148.17026371637863,148.83387757505128,31.272249184295905,31.47565166350955,23.780763832282144,25.05234147404205
32,1.0666666666666667,122.16036712048502,125.98691294978309,145.62556328142145,146.69969917310982,45.888033039464304,41.21554543246814,18.511508094184308,21.9887785126409
33,1.1,126.28789883613833,125.89928811075858,145.5382928378234,145.87847791782056,39.234887800136136,42.32137913246999,17.03065440276263,18.1602925042407
34,1.1333333333333333,112.77285312564472,116.55588117970672,143.24610584897187,143.22118166482034,51.59359178828777,50.24773626218786,16.362256393384403,15.49234551028697
35,1.1666666666666667,112.88305669219879,111.33497898777415,144.85071942752435,143.56205020382458,53.46521237086688,55.16431336388808,14.49695039297992,13.33172424897402
36,1.2,91.29365030337397,95.04228164783316,140.17489062168542,141.19366521460663,71.1213846785742,67.90330921789159,17.30107922377739,14.631336461413936
37,1.2333333333333334,3.43524393063863,29.61143181046161,88.3698852204573,105.78331399502567,161.13830032610923,133.2921940139411,67.60961568064283,49.755482980642455
38,1.2666666666666666,2.814803403698318,-6.109271600832329,102.19436683070097,94.70456341542852,157.65574744468245,166.61399206289713,56.623381816781304,63.00393702594825
39,1.3,8.259611492667808,-15.716439399271962,113.43298851155683,99.08013033565629,153.88569057468348,176.32923807982715,46.115978966350454,60.78760130656477
40,1.3333333333333333,23.734947703943877,-1.7192950036516947,130.8962452332871,116.9905241210079,137.21687051429683,162.71844614337306,30.197838143703304,44.17485550757741
41,1.3666666666666667,16.274473224538973,11.642809924927889,131.7193354441168,131.2947799403985,139.17888074287492,145.31727218985898,32.35661184267254,32.822613487885356
42,1.4,7.340106572116683,17.19814027764565,117.00568741873661,130.3123000201153,148.56343908826173,138.09509863193622,48.614609963151466,35.97431618576304
